"Daily Weather Observations for Melbourne (Olympic Park), Victoria for April 2020"
"Prepared at 13:01 UTC on Tuesday  6 October 2020   IDCJDW3033.202004"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-04-1,11.0,23.1,0,,,SSE,20,16:11,12.5,84,,NE,9,1019.3,22.4,55,,SW,9,1014.9
,2020-04-2,12.4,20.7,23.0,,,NNW,30,12:56,15.9,98,, ,Calm,1008.3,18.7,85,,WSW,4,1005.5
,2020-04-3,13.7,23.2,15.8,,,N,46,11:22,14.6,98,,N,9,1005.7,22.5,55,,N,22,1001.4
,2020-04-4,12.8,16.6,35.2,,,WSW,56,13:48,14.4,81,,W,13,997.6,10.9,84,,W,17,1001.3
,2020-04-5,9.5,16.9,4.4,,,,,,13.5,70,,NNW,22,1006.5,14.6,91,,WNW,9,1008.2
,2020-04-6,10.7,16.5,6.2,,,S,24,10:35,13.1,74,,WSW,9,1021.4,15.4,59,,SSW,11,1021.8
,2020-04-7,11.9,16.4,1.4,,,S,24,17:56,14.1,78,,ENE,2,1024.5,15.2,58,,SSW,11,1022.8
,2020-04-8,11.7,18.6,1.2,,,SE,26,14:23,13.3,97,,SE,11,1025.2,17.7,68,,SSE,11,1023.8
,2020-04-9,8.9,21.2,0,,,SSW,17,13:59,13.0,82,,E,4,1027.5,20.1,51,,SSW,7,1023.1
,2020-04-10,12.7,22.0,0.2,,,NW,31,13:32,17.8,79,,NNW,17,1017.2,21.3,53,,NNW,15,1010.9
,2020-04-11,13.0,15.7,2.4,,,WSW,59,13:37,14.2,64,,W,15,1006.5,15.2,56,,WSW,15,1009.0
,2020-04-12,11.0,15.3,2.4,,,W,30,00:38,12.9,79,,WSW,9,1020.2,15.0,61,,SW,6,1019.7
,2020-04-13,12.2,18.3,0,,,SSW,20,15:20,13.5,68,,WSW,7,1021.9,18.1,57,,SSW,9,1019.7
,2020-04-14,12.1,23.4,0.6,,,N,33,09:12,16.6,64,,NNE,15,1023.7,21.5,51,,N,15,1022.2
,2020-04-15,15.6,23.5,0,,,N,50,13:38,18.8,54,,N,19,1020.9,23.2,44,,N,20,1013.9
,2020-04-16,15.4,21.5,0.2,,,SSW,46,13:57,17.4,72,,WSW,7,1009.6,16.8,76,,S,13,1010.3
,2020-04-17,11.4,18.4,0,,,WSW,35,09:49,14.7,67,,NW,9,1015.0,17.6,61,,SW,13,1013.6
,2020-04-18,12.9,16.4,0,,,WSW,26,07:30,13.7,76,,WNW,9,1016.4,15.8,67,,SW,7,1014.1
,2020-04-19,11.2,19.4,0,,,NNW,31,00:00,12.8,75,,NNE,4,1016.3,17.8,37,,NE,7,1012.4
,2020-04-20,12.0,20.8,3.4,,,N,59,06:28,16.3,55,,N,20,1007.9,20.3,37,,WSW,11,1010.9
,2020-04-21,8.5,19.6,0,,,NNW,41,15:14,12.9,74,,ENE,6,1016.7,19.0,39,,N,20,1014.0
,2020-04-22,12.8,18.2,0,,,SSW,22,10:40,15.2,69,,WNW,7,1020.3,17.8,64,,S,4,1019.1
,2020-04-23,9.6,19.7,0,,,N,44,13:18,15.2,66,,N,11,1018.5,19.3,53,,N,24,1013.7
,2020-04-24,15.1,22.3,0.4,,,N,26,12:18,17.1,68,,WNW,11,1018.2,20.9,49,,SSW,11,1017.5
,2020-04-25,10.5,21.7,0,,,N,43,12:56,15.7,75,,N,13,1019.0,21.2,50,,NNW,20,1014.9
,2020-04-26,15.4,17.7,14.0,,,SSW,31,10:44,17.6,78,,NW,13,1012.6,17.1,64,,SSW,11,1016.3
,2020-04-27,8.1,18.1,0.6,,,NNW,22,10:32,11.7,72,,ENE,7,1025.1,17.3,48,,SSW,6,1022.4
,2020-04-28,7.1,18.9,0,,,NNW,43,12:59,11.3,76,,NNE,9,1020.0,17.9,52,,N,17,1014.1
,2020-04-29,11.2,19.8,3.4,,,N,35,06:07,17.5,83,,N,17,1005.6,13.0,98,,WSW,7,1004.9
,2020-04-30,8.9,15.5,23.6,,,WNW,44,20:43,10.5,78,,NW,6,1007.0,11.8,75,,W,13,1005.0
